Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00014435,-1.66e-06,-0.04034123,0,0,0,0.98610884,0.0012749,-2.85e-06,3.57e-06,0.00075879,0.0,0.00116235,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/base_link.STL,,base_link-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torso_link,0.0,0.0,0.09532909,0,0,0,3.16987085,0.01839474,0.0,0.0,0.01617720,0.0,0.01662571,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/torso_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/torso_link.STL,,torso_link-1,torso_link,A_torso_link,torso_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
r_shoulder_pitch_link,-0.0023165,-0.01720478,0.00020825,0,0,0,0.13935188,7.568e-05,-3.2e-06,5e-08,0.00012196,-6.5e-07,0.00014519,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_shoulder_pitch_link.STL,,r_shoulder_pitch_link-1,r_shoulder_pitch_link,A_r_shoulder_pitch_link,r_shoulder_pitch_joint,revolute,0,-0.1084,0.117,0,0,0,torso_link,0,1,0,0,0,0,0,,,,,,,,
r_shoulder_roll_link,-0.00164862,-0.00020989,-0.02488799,0,0,0,0.55615019,0.00051303,-2e-07,1.879e-05,0.00052161,-2.18e-06,0.0001534,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_shoulder_roll_link.STL,,r_shoulder_roll_link-2,r_shoulder_roll_link,A_r_shoulder_roll_link,r_shoulder_roll_joint,revolute,0,-0.038,0,0,0,0,r_shoulder_pitch_link,1,0,0,0,0,0,0,,,,,,,,
r_upper_arm_link,3.107e-05,-0.00138646,-0.01213494,0,0,0,0.15318326,0.00017707,-2.7e-07,1.4e-07,0.00011359,-7.27e-06,0.00014214,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_upper_arm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_upper_arm_link.STL,,r_upper_arm_link-1,r_upper_arm_link,A_r_upper_arm_link,r_upper_arm_joint,revolute,0,0,-0.0724,0,0,0,r_shoulder_roll_link,0,0,1,0,0,0,0,,,,,,,,
r_elbow_link,5.69e-05,-0.00308341,-0.00211549,0,0,0,0.31317542,0.00010775,5e-08,-3e-07,9.336e-05,-4.5e-07,9.783e-05,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_elbow_link.STL,,r_elbow_link-1,r_elbow_link,A_r_elbow_link,r_elbow_joint,revolute,0,0,-0.038,0,0,0,r_upper_arm_link,0,1,0,0,0,0,0,,,,,,,,
r_wrist_link,3.045000e-05,-4.830000e-06,-0.04078253,0,0,0,0.07518056,1.180900e-04,0.0,1.200000e-07,1.182300e-04,-2.000000e-08,1.105000e-05,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_wrist_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/r_wrist_link.STL,,r_wrist_link-2,r_wrist_link,A_r_wrist_link,r_wrist_joint,fixed,0,0,-0.029,0,0,0,r_elbow_link,0,0,0,0,0,0,0,,,,,,,,
l_shoulder_pitch_link,-0.00231650,0.01720478,2.082500e-04,0,0,0,0.13935188,7.568000e-05,3.200000e-06,5.000000e-08,1.219600e-04,6.500000e-07,1.451900e-04,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/l_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/l_shoulder_pitch_link.STL,,l_shoulder_pitch_link-1,l_shoulder_pitch_link,A_l_shoulder_pitch_link,l_shoulder_pitch_joint,revolute,0,0.1084,0.11698,0,0,0,torso_link,0,1,0,0,0,0,0,,,,,,,,
l_shoulder_roll_link,-0.00164862,2.098900e-04,-0.02488799,0,0,0,0.55615019,5.130300e-04,2.000000e-07,1.879000e-05,5.216100e-04,2.180000e-06,1.534000e-04,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/l_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/l_shoulder_roll_link.STL,,l_shoulder_roll_link-1,l_shoulder_roll_link,A_l_shoulder_roll_link,l_shoulder_roll_joint,revolute,0,0.038,0,0,0,0,l_shoulder_pitch_link,1,0,0,0,0,0,0,,,,,,,,
l_upper_arm_link,3.107000e-05,0.00138646,-0.01213494,0,0,0,0.15318326,1.770700e-04,2.700000e-07,1.400000e-07,1.135900e-04,7.270000e-06,1.421400e-04,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/l_upper_arm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_Soccer_New/meshes/l_upper_arm_link.STL,,l_upper_arm_link-1,l_upper_arm_link,A_l_upper_arm_link,l_upper_arm_joint,revolute,0,0,-0.0724,0,0,0,l_shoulder_roll_link,0,0,1,0,0,0,0,,,,,,,,
