Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00056268,-1.51e-06,-0.04007867,0,0,0,1.08902227,0.00149315,-2.67e-06,1.691e-05,0.00084471,-5.09e-06,0.00139917,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/base_link.STL,,base_link-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
torso_link,0.0,0.0,0.08969418,0,0,0,4.39956187,0.02437887,0.0,0.0,0.02367149,0.0,0.02270692,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/torso_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/torso_link.STL,,torso_link-2,torso_link,A_torso_link,torso_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
r_shoulder_pitch_link,0.00113579,-0.01754159,0.00021416,0,0,0,0.20090758,0.00010129,-7.83e-06,2.7e-07,0.0001865,-1.04e-06,0.00021623,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_shoulder_pitch_link.STL,,r_shoulder_pitch_link-1,r_shoulder_pitch_link,A_r_shoulder_pitch_link,r_shoulder_pitch_joint,revolute,0,-0.1084,0.117,0,0,0,torso_link,0,1,0,10,16.755,-4.18,1.04,,,,,,,,
r_shoulder_roll_link,-0.00127795,-0.00018558,-0.00371445,0,0,0,0.35491518,0.00018379,1.7e-07,1.66e-06,0.00019593,-1.31e-06,0.00017409,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_shoulder_roll_link.STL,,r_shoulder_roll_link-1,r_shoulder_roll_link,A_r_shoulder_roll_link,r_shoulder_roll_joint,revolute,0,-0.038,0,0,0,0,r_shoulder_pitch_link,1,0,0,10,16.755,-3.34,0.13,,,,,,,,
r_upper_arm_link,-0.00011614,0.00062446,0.00362573,0,0,0,0.45221715,0.00044496,-1.78e-06,-1.65e-06,0.00034184,-7e-07,0.0002907,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_upper_arm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_upper_arm_link.STL,,r_upper_arm_link-1,r_upper_arm_link,A_r_upper_arm_link,r_upper_arm_joint,revolute,0,0,-0.0724,0,0,0,r_shoulder_roll_link,0,0,1,10,16.755,-2.16,2.16,,,,,,,,
r_elbow_link,2.953e-05,-0.00130322,-0.00200304,0,0,0,0.32603868,0.00016114,4e-08,-4.7e-07,0.00014522,-1.69e-06,0.00014929,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_elbow_link.STL,,r_elbow_link-1,r_elbow_link,A_r_elbow_link,r_elbow_joint,revolute,0,0,-0.038,0,0,0,r_upper_arm_link,0,1,0,10,16.755,-2,2,,,,,,,,
r_wrist_link,4.035000e-05,-6.390000e-06,-0.03823866,0,0,0,0.07204783,1.134300e-04,-1.900000e-07,1.600000e-07,1.136700e-04,-3.000000e-08,1.112000e-05,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_wrist_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/r_wrist_link.STL,,r_wrist_link-1,r_wrist_link,A_r_wrist_link,r_wrist_joint,fixed,0,0,-0.029,0,0,0,r_elbow_link,0,0,0,,,,,,,,,,,,
l_shoulder_pitch_link,0.00113579,0.01754159,2.141600e-04,0,0,0,0.20090758,1.012900e-04,7.830000e-06,2.700000e-07,1.865000e-04,1.040000e-06,2.162300e-04,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/l_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/l_shoulder_pitch_link.STL,,l_shoulder_pitch_link-1,l_shoulder_pitch_link,A_l_shoulder_pitch_link,l_shoulder_pitch_joint,revolute,0,0.1084,0.117,0,0,0,torso_link,0,1,0,10,16.755,-4.18,1.04,,,,,,,,
l_shoulder_roll_link,-0.00127795,1.855800e-04,-0.00371445,0,0,0,0.35491518,1.837900e-04,-1.700000e-07,1.660000e-06,1.959300e-04,1.310000e-06,1.740900e-04,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/l_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/l_shoulder_roll_link.STL,,l_shoulder_roll_link-1,l_shoulder_roll_link,A_l_shoulder_roll_link,l_shoulder_roll_joint,revolute,0,0.038,0,0,0,0,l_shoulder_pitch_link,1,0,0,10,16.755,-0.13,3.34,,,,,,,,
l_upper_arm_link,-1.161400e-04,-6.244600e-04,0.00362573,0,0,0,0.45221715,4.449600e-04,1.780000e-06,-1.650000e-06,3.418400e-04,7.000000e-07,2.907000e-04,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/l_upper_arm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://PiPlus_S_12L8A0G2H0W_SSE_ZedMini_260831/meshes/l_upper_arm_link.STL,,l_upper_arm_link-1,l_upper_arm_link,A_l_upper_arm_link,l_upper_arm_joint,revolute,0,0,-0.0724,0,0,0,l_shoulder_roll_link,0,0,1,10,16.755,-2.16,2.16,,,,,,,,
